Interval,定义关系类,定义解释类,实际应用类,逻辑推理类,全部
0 ~ 50,4.61,3.61,0.34,2.77,3.13
50 ~ 100,17.48,13.36,3.4,16.48,14.22
100 ~ 150,24.11,22.96,8.99,21.52,20.72
150 ~ 200,20.07,21.48,15.79,19.48,19.51
200 ~ 250,13.79,15.44,15.04,14.12,14.42
250 ~ 300,7.77,8.33,15.04,8.64,9.27
300 ~ 350,4.3,5.89,10.48,5.27,5.88
350 ~ 400,2.72,3.0,7.08,3.8,3.8
400 ~ 450,1.65,2.18,5.72,2.1,2.52
450 ~ 500,0.94,1.27,4.97,1.87,1.93
500 ~ 550,0.71,0.91,3.88,1.12,1.37
550 ~ 600,0.54,0.56,2.45,0.92,0.96
600 ~ 650,0.24,0.51,1.97,0.26,0.56
650 ~ 700,0.1,0.1,1.29,0.32,0.35
700 ~ 750,0.37,0.1,0.75,0.32,0.35
750 ~ 800,0.13,0.15,0.82,0.12,0.23
800 ~ 850,0.2,0.1,0.54,0.23,0.24
850 ~ 900,0.1,0.0,0.07,0.09,0.07
900 ~ 950,0.07,0.0,0.54,0.23,0.18
950 ~ 1000,0.07,0.0,0.07,0.03,0.04
>= 1000,0.03,0.05,0.75,0.32,0.24
