Interval,定义关系类,定义解释类,实际应用类,逻辑推理类
0.00 ~ 0.05,0.0,0.0,0.0,0.0
0.05 ~ 0.10,0.0,0.01,0.0,0.0
0.10 ~ 0.15,0.01,0.19,0.0,0.0
0.15 ~ 0.20,0.16,1.17,0.0,0.04
0.20 ~ 0.25,1.05,4.67,0.12,0.28
0.25 ~ 0.30,4.43,12.28,1.2,1.66
0.30 ~ 0.35,12.02,21.02,6.21,6.37
0.35 ~ 0.40,20.81,24.27,17.83,15.48
0.40 ~ 0.45,24.0,18.71,28.34,24.99
0.45 ~ 0.50,19.27,10.09,25.36,25.21
0.50 ~ 0.55,10.75,4.18,13.71,15.53
0.55 ~ 0.60,4.4,1.67,5.0,6.5
0.60 ~ 0.65,1.64,0.74,1.51,2.26
0.65 ~ 0.70,0.69,0.39,0.49,0.86
0.70 ~ 0.75,0.34,0.24,0.16,0.39
0.75 ~ 0.80,0.19,0.15,0.05,0.2
0.80 ~ 0.85,0.12,0.08,0.02,0.12
0.85 ~ 0.90,0.07,0.06,0.01,0.06
0.90 ~ 0.95,0.04,0.02,0.0,0.03
0.95 ~ 1.00,0.02,0.03,0.0,0.01
