Interval,定义关系类,定义解释类,实际应用类,逻辑推理类
0.00 ~ 0.05,0.0,0.0,0.0,0.0
0.05 ~ 0.10,0.0,0.0,0.0,0.0
0.10 ~ 0.15,0.0,0.0,0.0,0.0
0.15 ~ 0.20,0.07,0.05,0.0,0.0
0.20 ~ 0.25,0.07,0.15,0.0,0.0
0.25 ~ 0.30,0.1,0.15,0.0,0.09
0.30 ~ 0.35,0.07,0.25,0.07,0.09
0.35 ~ 0.40,0.54,0.36,0.0,0.09
0.40 ~ 0.45,0.67,0.91,0.0,0.26
0.45 ~ 0.50,1.24,1.73,0.27,0.75
0.50 ~ 0.55,1.61,2.39,1.1,1.04
0.55 ~ 0.60,3.23,6.4,1.99,2.28
0.60 ~ 0.65,5.99,12.55,3.57,4.88
0.65 ~ 0.70,13.72,20.43,8.85,10.52
0.70 ~ 0.75,21.76,24.14,21.54,17.86
0.75 ~ 0.80,24.69,19.46,28.12,24.91
0.80 ~ 0.85,17.96,9.2,25.38,23.64
0.85 ~ 0.90,6.66,1.52,8.57,11.33
0.90 ~ 0.95,1.35,0.15,0.48,2.11
0.95 ~ 1.00,0.2,0.05,0.07,0.09
